branch	status	old_path	new_path
aether	R100	crates/aether-data/migrations/postgres/20260512090000_add_payment_gateway_plans.sql	crates/aether-data/adapters/postgres/migrations/20260512090000_add_payment_gateway_plans.sql
aether	R100	crates/aether-data/migrations/postgres/20260512110000_add_billing_plan_purchase_limit_scope.sql	crates/aether-data/adapters/postgres/migrations/20260512110000_add_billing_plan_purchase_limit_scope.sql
aether	R100	crates/aether-data/migrations/postgres/20260515000000_add_audit_admin_to_userrole.sql	crates/aether-data/adapters/postgres/migrations/20260515000000_add_audit_admin_to_userrole.sql
aether	R100	crates/aether-data/migrations/postgres/20260516000000_add_routing_profiles.sql	crates/aether-data/adapters/postgres/migrations/20260516000000_add_routing_profiles.sql
aether	R100	crates/aether-data/migrations/postgres/20260518000000_add_usage_counter_deltas.sql	crates/aether-data/adapters/postgres/migrations/20260518000000_add_usage_counter_deltas.sql
aether	R100	crates/aether-data/migrations/postgres/20260519000000_add_referrals_privacy_required_announcements.sql	crates/aether-data/adapters/postgres/migrations/20260519000000_add_referrals_privacy_required_announcements.sql
aether	R100	crates/aether-data/migrations/postgres/20260519120000_add_oauth_provider_icon_url.sql	crates/aether-data/adapters/postgres/migrations/20260519120000_add_oauth_provider_icon_url.sql
aether	R100	crates/aether-data/migrations/postgres/20260519130000_add_provider_api_key_default_pool_sort_index.sql	crates/aether-data/adapters/postgres/migrations/20260519130000_add_provider_api_key_default_pool_sort_index.sql
aether	R097	crates/aether-data/src/repository/announcements/postgres.rs	crates/aether-data/adapters/postgres/src/announcements.rs
aether	R091	crates/aether-data/src/repository/auth/postgres.rs	crates/aether-data/adapters/postgres/src/auth.rs
aether	R096	crates/aether-data/src/repository/auth_modules/postgres.rs	crates/aether-data/adapters/postgres/src/auth_modules.rs
aether	R097	crates/aether-data/src/repository/background_tasks/postgres.rs	crates/aether-data/adapters/postgres/src/background_tasks.rs
aether	R099	crates/aether-data/src/repository/billing/postgres.rs	crates/aether-data/adapters/postgres/src/billing.rs
aether	R076	crates/aether-data/src/repository/candidate_selection/postgres.rs	crates/aether-data/adapters/postgres/src/candidate_selection.rs
aether	R098	crates/aether-data/src/repository/gemini_file_mappings/postgres.rs	crates/aether-data/adapters/postgres/src/gemini_file_mappings.rs
aether	R096	crates/aether-data/src/repository/global_models/postgres.rs	crates/aether-data/adapters/postgres/src/global_models.rs
aether	R098	crates/aether-data/src/driver/postgres/lease.rs	crates/aether-data/adapters/postgres/src/lease.rs
aether	R098	crates/aether-data/src/repository/management_tokens/postgres.rs	crates/aether-data/adapters/postgres/src/management_tokens.rs
aether	R098	crates/aether-data/src/repository/oauth_providers/postgres.rs	crates/aether-data/adapters/postgres/src/oauth_providers.rs
aether	R072	crates/aether-data/src/repository/pool_scores/postgres.rs	crates/aether-data/adapters/postgres/src/pool_scores.rs
aether	R069	crates/aether-data/src/repository/provider_catalog/postgres.rs	crates/aether-data/adapters/postgres/src/provider_catalog.rs
aether	R097	crates/aether-data/src/repository/proxy_nodes/postgres.rs	crates/aether-data/adapters/postgres/src/proxy_nodes.rs
aether	R071	crates/aether-data/src/repository/quota/postgres.rs	crates/aether-data/adapters/postgres/src/quota.rs
aether	R075	crates/aether-data/src/repository/routing_profiles/postgres.rs	crates/aether-data/adapters/postgres/src/routing_profiles.rs
aether	R097	crates/aether-data/src/repository/settlement/postgres.rs	crates/aether-data/adapters/postgres/src/settlement.rs
aether	R098	crates/aether-data/src/driver/postgres/tx.rs	crates/aether-data/adapters/postgres/src/tx.rs
aether	R100	crates/aether-data/src/driver/postgres/types.rs	crates/aether-data/adapters/postgres/src/types.rs
aether	R095	crates/aether-data/src/repository/usage/postgres/cleanup.rs	crates/aether-data/adapters/postgres/src/usage/cleanup.rs
